pattern,recommendation,reason
build/,add,Generated build output; reproducible.
dist/legal.html,add,Generated legal page output; source should be in src/pages/legal.html.
*.zip,add (scoped if needed),Prevent accidental commit of report/release bundles.
screens/debug/,add,Keep debug screenshots out of git.
screens/tmp/,add,Temporary visual artifacts.
audit/playwright/artifacts/,keep ignored,Autogenerated test artifacts already ignored.
diff/*.diff,add,Intermediate patch diff exports.
prototype-export/,add,Prototype dumps are transient.
ui-sandbox/prototype-export-*.zip,add,Sandbox export archives are transient.
archive/non-runtime/,add,Non-runtime backups should stay out of active repo.
docs/,DO NOT ignore,Canonical runtime/release docs must stay versioned.
src/pages/*.html,DO NOT ignore,Source pages belong to product code.
