Finding,Where,Severity,Risk,Recommended fix
PII fallback in browser storage,"src/scripts/main.js:810-819","major","Lead payload (name/phone/etc) persisted in localStorage on delivery failure", "Store minimal retry token only; move full payload retry server-side"
Debug reset exposed in UI,"index.html:42-43 + main.js:957+","major","Any user can clear storage/cookies and interfere with funnel/session behavior", "Hide behind DEBUG flag or query param; disable in production build"
Broad storage wipe,"main.js:968-969","major","localStorage.clear/sessionStorage.clear affects all keys on origin", "Restrict clear to prefixed keys (aidacamp_*)"
Potential DOM XSS vector via persisted state,"buildBookingSummaryHtml()/renderBookingInfo() via innerHTML","minor","state.code from localStorage is injected into HTML templates", "Escape interpolated values or switch to textContent for dynamic fields"
Unsafe generic embed allowance,"resolveVideoSource(): parts[0] === 'embed' branch","minor","Any /embed URL can be iframed if added to data, expanding clickjacking/tracking surface", "Whitelist trusted hosts for embedding"
No CSP/Security headers in static output,"index.html/dist/index.html","minor","Higher impact if future HTML injection appears", "Add basic CSP and frame-src/connect-src allowlist at hosting layer"
External media trust dependency,"multiple CDN image/video URLs in main.js data","minor","Third-party asset compromise can affect UI/content integrity", "Pin critical assets locally or via signed CDN policy"
Global runtime config mutable,"window.AC_NOTIFY_CONFIG inline","minor","Client-side script can redirect lead endpoint if compromised", "Freeze config object early and validate endpoint origin"
Legacy Telegram sender exists in repo,"src/scripts/features/analytics.js:80-96","major","Reintroduction risk: token/chat fallback code remains in alternate runtime path", "Archive/remove legacy analytics module or block from build via lint rule"
Target blank hygiene,"index.html/src/pages/legal.html","low","Checked: rel noopener noreferrer present where target=_blank used", "Keep enforced via HTML lint"
