Зона,Expected by target architecture,Actual behavior,Divergence,Intentional / accidental,Severity,Recommendation
Navigation policy,"Full=scroll-first; Compact=modal-first","Реализовано и подтверждено Playwright","нет критичного divergence","intentional","minor","Оставить policy, добавить regression test"
Desktop full menu,"scroll to section","Работает, modal не открывается","нет","intentional","minor","Оставить"
Desktop compact menu,"open section modal","Работает для team/legal","нет","intentional","minor","Оставить"
Mobile full menu,"scroll-first к mobile sections","Работает","нет","intentional","minor","Оставить"
Mobile compact menu,"modal-first","Работает","нет","intentional","minor","Оставить"
Booking hard lock,"единая логика age->shift->offer->form","Логика единая, но двойной click-listener и hint routing многослойные","сложный event graph","accidental","major","Свести hints/guards в один gate layer"
CTA behavior,"единый gate для primary/sum","Primary и summary идут через primary-cta action","нет критичного обхода","intentional","minor","Оставить"
Reset behavior,"безопасный reset project scope","clearProjectStorage scoped, но regex может затронуть сторонние ключи с booking/promo","over-broad key matching","accidental","major","Уточнить whitelist ключей"
Modal routing,"predictable close/open, без конфликтов","Есть closeTransientModals + отдельные overlay handlers","высокая связность и риск дрейфа","accidental","major","Унифицировать modal state-machine"
Photo/video modal behavior,"единая media policy","photo uses lightbox embed; video uses dedicated modal/fallback","две параллельные media ветки","intentional","minor","Оставить, но документировать"
Contacts/legal/journey availability,"доступность блоков во всех 4 режимах без потери смысла","доступ есть, но mobile full контентно урезан","semantic divergence","accidental","major","Синхронизировать content richness full/full"
Switching logic,"view/mode switching without hidden side effects","switchView/switchDesktopMode/switchMobileMode разнесены, reset частично сохраняет режим","state coupling","accidental","major","Централизовать mode transition rules"
